date,cpi_combined,cpi_yoy,wpi_all,wpi_fuel,wpi_manufacturing,wpi_primary,wpi_all_yoy,wpi_primary_yoy,wpi_fuel_yoy,wpi_manufacturing_yoy,output_ppi,output_ppi_yoy
01-04-2024,186.7,4.828747894,99.9,92,98.5,108.8,0.909090909,6.666666667,-2.127659574,-0.605449041,99.7,0.605449041
01-05-2024,187.7,4.801786711,100.4,91.7,98.9,110.1,1.825557809,7.624633431,0.328227571,0,100.1,1.521298174
01-06-2024,190.2,5.082872928,100.7,89.9,99.1,111.8,2.441505595,8.228460794,-0.662983425,0.916496945,100.4,2.240325866
01-07-2024,193,3.596349973,101,91.2,98.8,113.1,1.917255298,4.819277108,0.662251656,1.022494888,100.8,1.715438951
01-08-2024,193,3.651987111,100.8,90.9,98.4,113.8,1.306532663,5.37037037,-0.980392157,0.305810398,100.7,1.307847082
01-09-2024,194.2,5.486148832,101.2,90.1,98.6,115.4,1.606425703,8.458646617,-4.352441614,0.305188199,101,1.40562249
01-10-2024,196.8,6.206152186,102.1,90.6,99.2,117.1,1.998001998,8.627087199,-4.831932773,0.81300813,101.8,1.8
01-11-2024,196.5,5.475040258,102.1,91.1,99.2,117.1,1.998001998,7.529843893,-3.290870488,1.018329939,102,2.102102102
01-12-2024,195.4,5.223478729,101.6,91.4,98.9,115.2,2.213279678,7.462686567,-2.245989305,1.02145046,101.5,2.318548387
01-01-2025,193.4,4.258760108,101.1,91.5,99.2,112.2,1.812688822,4.469273743,-2.34791889,1.53531218,101.2,2.016129032
01-02-2025,192.5,3.606027987,100.9,92.1,99.6,109.8,1.611278953,1.760889713,-1.602564103,2.258726899,101,1.814516129
01-03-2025,192,3.336921421,100.6,90.6,99.9,108.6,1.207243461,0.46253469,-2.893890675,2.251791198,100.7,1.512096774
01-04-2025,192.6,3.160149973,100.5,88.8,100.3,108.5,0.600600601,-0.275735294,-3.47826087,1.827411168,100.5,0.802407222
01-05-2025,193,2.823654768,100.2,86.7,100.3,108.3,-0.199203187,-1.634877384,-5.452562704,1.415571284,100.2,0.0999001
01-06-2025,194.2,2.103049422,100.3,87.2,100.3,108.5,-0.397219464,-2.951699463,-3.003337041,1.210898083,100.3,-0.099601594
01-07-2025,196.1,1.606217617,100.2,87.8,100.1,108,-0.792079208,-4.50928382,-3.728070175,1.315789474,100.3,-0.496031746
01-08-2025,197,2.07253886,100.8,88.1,100.4,109.6,0,-3.690685413,-3.080308031,2.032520325,100.9,0.198609732
01-09-2025,197,1.441812564,101,87.8,100.4,110.7,-0.197628458,-4.072790295,-2.552719201,1.825557809,101,0
01-10-2025,197.3,0.254065041,100.9,87.1,100.6,110.4,-1.175318315,-5.721605465,-3.863134658,1.411290323,101.1,-0.68762279
01-11-2025,197.9,0.712468193,101.5,88.4,100.6,112.3,-0.587659158,-4.099060632,-2.96377607,1.411290323,101.7,-0.294117647
01-12-2025,198,1.330603889,101.9,89,101.1,112,0.295275591,-2.777777778,-2.625820569,2.224469161,102.1,0.591133005
